symbol,input_window,fold,dataset,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean,bds_statistic,bds_pvalue
XRPUSDT,14,4,test,0.0007165600356103262,1.944241283979688e-06,0.0013366029515927984,9.033104884940418,1.1355559454677393,0.2561424552550441
XRPUSDT,14,5,train,0.000798282564219562,3.09025017131617e-06,0.0016885229640932358,9.482753086180512,,
XRPUSDT,14,5,validation,0.0006939302466220037,1.931811431171366e-06,0.001334115342073669,9.175662831800597,,
XRPUSDT,14,5,test,0.0005519634753007804,9.298727936481218e-07,0.0009244513390044889,10.304921432038213,1.4685946053718444,0.14194277894053406
XRPUSDT,21,1,train,0.0014235484287740525,5.979109674771024e-06,0.002358146602137841,14.16945311348243,,
XRPUSDT,21,1,validation,0.0011260503416242172,3.078421836355725e-06,0.001699510526528103,14.99078214090292,,
XRPUSDT,21,1,test,0.001161023258405879,2.2077060461495138e-06,0.0014511271711406069,21.806999406814345,6.478456318891671,9.266574913088467e-11
XRPUSDT,21,2,train,0.001014542554309212,4.34160552755217e-06,0.0019920237624920013,8.669194031860313,,
XRPUSDT,21,2,validation,0.0006172668620559286,1.155280624815969e-06,0.0010328284974001182,9.151189708568094,,
XRPUSDT,21,2,test,0.0006674250075322084,3.1670839141509235e-06,0.0017092800719531432,12.01805154112978,0.8229635963651206,0.4105286953727977
XRPUSDT,21,3,train,0.0009104144401005084,3.1641216190152136e-06,0.0017100101044064985,9.833980143266968,,
XRPUSDT,21,3,validation,0.0008152424201332255,3.214426300763042e-06,0.001728285822617526,16.76944913548382,,
XRPUSDT,21,3,test,0.0008763287876296717,2.481822278774067e-06,0.0015180125295434818,14.15775638709256,1.879397323708153,0.0601902614903786
XRPUSDT,21,4,train,0.000881308704247627,3.7474409481009454e-06,0.0018542893890204882,9.010648525331543,,
XRPUSDT,21,4,validation,0.0007838657180561151,2.685813585186051e-06,0.00156544554727991,9.482113818806464,,
XRPUSDT,21,4,test,0.0006795140031571366,1.838384102507442e-06,0.0013005034730803676,8.507879930964469,1.3095626628801493,0.19034382628899893
XRPUSDT,21,5,train,0.0008061289119522964,3.0113241225649785e-06,0.0016714807792759686,9.369722264388301,,
XRPUSDT,21,5,validation,0.0007007097594216576,1.8987405412850657e-06,0.0013250904461785,9.11576906084961,,
XRPUSDT,21,5,test,0.000546887893774729,8.95722900359679e-07,0.0009110914969236844,9.98161083626928,2.1031274396327997,0.03545463093110675
