symbol,input_window,fold,n_train,n_val,n_test,X_train_shape,y_train_shape,pred_test_shape,n_outputs,scaler_X_fit_rows,scaler_y_fit_rows,scalers_train_only,n_iter,loss,convergence_warning,convergence_messages,other_warnings,bds_statistic,bds_pvalue,bds_status,bds_warnings,bds_calendar_gaps,elapsed_seconds
XRPUSDT,28,3,22646,7514,7514,"(22646, 28)","(22646, 7)","(7514, 7)",7,22646,22646,True,98,0.02546821210551615,False,,,1.7422503488671954,0.08146464731880297,ok,overflow encountered in scalar subtract,0,20.715893199900165
XRPUSDT,28,4,30194,7514,7514,"(30194, 28)","(30194, 7)","(7514, 7)",7,30194,30194,True,86,0.029189746848383227,False,,,1.166255259318443,0.243511256525331,ok,,0,29.76550789992325
XRPUSDT,28,5,37742,7514,7514,"(37742, 28)","(37742, 7)","(7514, 7)",7,37742,37742,True,119,0.028472348138981658,False,,,2.5048895586370223,0.01224896342342499,ok,,0,41.17951689986512
SOLUSDT,7,1,7582,7569,7568,"(7582, 7)","(7582, 7)","(7568, 7)",7,7582,7582,True,48,0.03821491951887319,False,,,1.6400844156784122,0.10098761627034794,ok,,1,5.916850999929011
SOLUSDT,7,2,15164,7568,7568,"(15164, 7)","(15164, 7)","(7568, 7)",7,15164,15164,True,31,0.03132256938024349,False,,,0.9400396616580392,0.3471972169029319,ok,,0,6.559850599849597
SOLUSDT,7,3,22745,7568,7568,"(22745, 7)","(22745, 7)","(7568, 7)",7,22745,22745,True,52,0.029659269472812236,False,,,0.6627404046583883,0.507496827612228,ok,,0,10.336287599988282
SOLUSDT,7,4,30326,7568,7568,"(30326, 7)","(30326, 7)","(7568, 7)",7,30326,30326,True,28,0.029632248482406125,False,,,1.4367679222272378,0.15078394793614316,ok,,0,8.640336900018156
SOLUSDT,7,5,37907,7568,7568,"(37907, 7)","(37907, 7)","(7568, 7)",7,37907,37907,True,46,0.027715932826301377,False,,,0.8568094990167202,0.3915501751150088,ok,,0,13.334121200023219
SOLUSDT,14,1,7571,7551,7550,"(7571, 14)","(7571, 7)","(7550, 7)",7,7571,7571,True,82,0.03806934257673145,False,,,2.058052301432114,0.039585113065800974,ok,,1,7.286965799983591
SOLUSDT,14,2,15142,7550,7550,"(15142, 14)","(15142, 7)","(7550, 7)",7,15142,15142,True,66,0.03026099721051375,False,,,0.7284659768750082,0.46632838848277447,ok,,0,9.442844999954104
SOLUSDT,14,3,22712,7550,7550,"(22712, 14)","(22712, 7)","(7550, 7)",7,22712,22712,True,63,0.0301424598651467,False,,,0.8308093164700243,0.4060813587562815,ok,,0,11.957550299819559
SOLUSDT,14,4,30282,7550,7550,"(30282, 14)","(30282, 7)","(7550, 7)",7,30282,30282,True,56,0.027867623379965456,False,,,0.9382231459429291,0.3481297458908388,ok,,0,12.699938799953088
SOLUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,45,0.027809431173309956,False,,,0.7935465196311505,0.42745947716401256,ok,,0,13.566863399930298
SOLUSDT,21,1,7560,7533,7532,"(7560, 21)","(7560, 7)","(7532, 7)",7,7560,7560,True,101,0.03607348321062264,False,,,2.0440968045224315,0.0409439847804624,ok,,1,8.258255199994892
SOLUSDT,21,2,15120,7532,7532,"(15120, 21)","(15120, 7)","(7532, 7)",7,15120,15120,True,97,0.028600389521871133,False,,,0.7198660512312017,0.47160747212996634,ok,,0,11.764868800062686
SOLUSDT,21,3,22679,7532,7532,"(22679, 21)","(22679, 7)","(7532, 7)",7,22679,22679,True,82,0.029190698945987983,False,,,1.1686657437246266,0.24253832886865467,ok,,0,22.330804799916223
SOLUSDT,21,4,30238,7532,7532,"(30238, 21)","(30238, 7)","(7532, 7)",7,30238,30238,True,45,0.030295401932920712,False,,,1.8490383008116233,0.06445228240837123,ok,,0,19.483124300139025
SOLUSDT,21,5,37797,7532,7532,"(37797, 21)","(37797, 7)","(7532, 7)",7,37797,37797,True,68,0.027008240283729504,False,,,0.8893622533792208,0.3738084243648596,ok,,0,27.313299600034952
SOLUSDT,28,1,7549,7515,7514,"(7549, 28)","(7549, 7)","(7514, 7)",7,7549,7549,True,102,0.03353581439258225,False,,,3.19928372428138,0.0013776951216184193,ok,,1,14.235881099943072
SOLUSDT,28,2,15098,7514,7514,"(15098, 28)","(15098, 7)","(7514, 7)",7,15098,15098,True,110,0.027084378195308585,False,,,1.017759529749139,0.30879224908800884,ok,,0,22.23691890016198
SOLUSDT,28,3,22646,7514,7514,"(22646, 28)","(22646, 7)","(7514, 7)",7,22646,22646,True,56,0.028354884701667922,False,,,2.2921602341266385,0.021896398675446058,ok,,0,17.943225200055167
SOLUSDT,28,4,30194,7514,7514,"(30194, 28)","(30194, 7)","(7514, 7)",7,30194,30194,True,58,0.02876587540798704,False,,,2.0243958720305453,0.04292943615830715,ok,,0,15.851889400044456
SOLUSDT,28,5,37742,7514,7514,"(37742, 28)","(37742, 7)","(7514, 7)",7,37742,37742,True,67,0.02737629260534634,False,,,1.0272265999659003,0.3043137755174449,ok,,0,26.926563899964094
