symbol,input_window,fold,dataset,horizon,MAE,MSE,RMSE,MAPE
BTCUSDT,21,2,train,6,0.0007936547733300918,1.6226766961421922e-06,0.0012738432777002799,11.32860290175458
BTCUSDT,21,2,train,7,0.00087129455566608,1.904019969748814e-06,0.0013798623010100733,12.44005944356382
BTCUSDT,21,2,validation,1,0.00022862915157976393,2.0615482128251312e-07,0.00045404275270343554,5.457705847831897
BTCUSDT,21,2,validation,2,0.00033164986695626876,4.086176518442653e-07,0.0006392320797990862,7.440466208756994
BTCUSDT,21,2,validation,3,0.0004468400839431255,6.369175723018796e-07,0.0007980711574176074,10.349357524751634
BTCUSDT,21,2,validation,4,0.0005488402972023129,8.561443019888066e-07,0.0009252806611989719,12.75020527627094
BTCUSDT,21,2,validation,5,0.0006496583423571957,1.086670711928586e-06,0.0010424349917038404,15.78708151958467
BTCUSDT,21,2,validation,6,0.0007158243065335181,1.297668487717527e-06,0.0011391525304881374,17.203987826577443
BTCUSDT,21,2,validation,7,0.0008019077748644719,1.5274688231564024e-06,0.0012359080965655992,19.76442265007608
BTCUSDT,21,2,test,1,0.00018364610075956788,1.3927567630809772e-07,0.0003731965652415597,6.560528335093384
BTCUSDT,21,2,test,2,0.00025874577592415615,2.7531929767586246e-07,0.0005247087741555905,8.440550812083078
BTCUSDT,21,2,test,3,0.00035342317190940957,4.241019575242677e-07,0.000651231109149638,11.960520765946333
