symbol,input_window,fold,horizon,R2
XRPUSDT,28,4,5,0.9088264585539249
XRPUSDT,28,4,6,0.8871708767269968
XRPUSDT,28,4,7,0.8714764908724457
XRPUSDT,28,5,1,0.975618029251704
XRPUSDT,28,5,2,0.9575113182773201
XRPUSDT,28,5,3,0.9348831362257425
XRPUSDT,28,5,4,0.9103904012305635
XRPUSDT,28,5,5,0.8918665177806961
XRPUSDT,28,5,6,0.8697115335187868
XRPUSDT,28,5,7,0.8529040967355501
SOLUSDT,7,1,1,0.9799277321900753
SOLUSDT,7,1,2,0.9673668091892011
SOLUSDT,7,1,3,0.947803738322824
SOLUSDT,7,1,4,0.9288861154638293
SOLUSDT,7,1,5,0.9095482498934188
SOLUSDT,7,1,6,0.8793397674530399
SOLUSDT,7,1,7,0.8604026234224423
SOLUSDT,7,2,1,0.9762550161050854
SOLUSDT,7,2,2,0.9566349565223237
SOLUSDT,7,2,3,0.9346878780538166
SOLUSDT,7,2,4,0.9136948339716059
SOLUSDT,7,2,5,0.8872815122389014
SOLUSDT,7,2,6,0.8623625908902506
SOLUSDT,7,2,7,0.839158380567363
SOLUSDT,7,3,1,0.9813561073740122
SOLUSDT,7,3,2,0.9617151395150104
SOLUSDT,7,3,3,0.9390586704052785
SOLUSDT,7,3,4,0.9173718038322579
SOLUSDT,7,3,5,0.8929096987187879
SOLUSDT,7,3,6,0.8707828771640878
SOLUSDT,7,3,7,0.8445690451138932
SOLUSDT,7,4,1,0.9764528044017603
SOLUSDT,7,4,2,0.9561005202002155
SOLUSDT,7,4,3,0.9331918088420377
SOLUSDT,7,4,4,0.9037324808855419
SOLUSDT,7,4,5,0.880289248620674
SOLUSDT,7,4,6,0.8456898571170357
SOLUSDT,7,4,7,0.8180242800501442
SOLUSDT,7,5,1,0.9690946868564086
SOLUSDT,7,5,2,0.9419564505314846
SOLUSDT,7,5,3,0.9126681273433999
SOLUSDT,7,5,4,0.8817976437078072
SOLUSDT,7,5,5,0.8562088476309856
SOLUSDT,7,5,6,0.8132671517672759
SOLUSDT,7,5,7,0.7916341620425603
SOLUSDT,14,1,1,0.9786998294287824
SOLUSDT,14,1,2,0.9596384443264295
SOLUSDT,14,1,3,0.9438786557250068
SOLUSDT,14,1,4,0.9023634212933184
SOLUSDT,14,1,5,0.8940461675124141
SOLUSDT,14,1,6,0.8590786931657903
SOLUSDT,14,1,7,0.847734557641068
SOLUSDT,14,2,1,0.9781034490788201
SOLUSDT,14,2,2,0.9580436460028818
SOLUSDT,14,2,3,0.9350699992147615
SOLUSDT,14,2,4,0.9119024041514975
SOLUSDT,14,2,5,0.8886477406970219
